order_date,predicted_total_price
2016-01-01,2399.3334831354236
2016-01-02,2296.586692427145
2016-01-03,1943.4023561381764
2016-01-04,2091.70288973577
2016-01-05,2189.884504451748
2016-01-06,2195.7277209947424
2016-01-07,2317.487405447552
2016-01-08,2473.0931409508285
2016-01-09,2334.50387503963
2016-01-10,1948.576068071661
2016-01-11,2122.3380607230365
2016-01-12,2206.481150097833
2016-01-13,2241.119491330135
2016-01-14,2281.5858968184693
2016-01-15,2489.798033926627
2016-01-16,2321.8848119271843
2016-01-17,1962.7708782485627
2016-01-18,2109.4537455943796
2016-01-19,2221.092691899667
2016-01-20,2228.776121140736
2016-01-21,2294.275865420987
2016-01-22,2476.406397600926
2016-01-23,2335.425346548268
2016-01-24,1949.2885521276144
2016-01-25,2122.9834452037762
2016-01-26,2207.626742038231
2016-01-27,2242.3244774165614
2016-01-28,2280.740753920935
2016-01-29,2489.915275515447
2016-01-30,2321.9224812722846
